DFF 1.1	Flow Table																											
																												
			Gate			Command				Bin Number		Sort Number			Flag			Group				Device			Debug			
	Label	Enable	Job	Part	Env	Opcode	Parameter	TName	TNum	Pass	Fail	Pass	Fail	Result	Pass	Fail	State	Specifier	Sense	Condition	Name	Sense	Condition	Name	Assume	Sites	Comment	
						logprint	Test_that_if_failed_works																					
						Test	read1	read1	50000		10			None		t1_C2A232F_FAILED												
						Test	erase1	erase1	50010		12			Fail									flag-true	t1_C2A232F_FAILED				
						logprint	Test_the_block_form_of_if_failed																					
						Test	read2	read2	50020		10			None		t2_C2A232F_FAILED												
						Test	erase2	erase2	50030					Fail									flag-true	t2_C2A232F_FAILED				
						Test	erase2	erase2	50040					Fail									flag-true	t2_C2A232F_FAILED				
						logprint	Test_that_if_passed_works																					
						Test	read1	read1	50050		10			None	t3_C2A232F_PASSED													
						Test	pgm1	pgm1	50060					Fail									flag-true	t3_C2A232F_PASSED				
						logprint	Test_the_block_form_of_if_passed																					
						Test	read2	read2	50070		10			None	t4_C2A232F_PASSED													
						Test	pgm1	pgm1	50080					Fail									flag-true	t4_C2A232F_PASSED				
						Test	pgm1	pgm1	50090					Fail									flag-true	t4_C2A232F_PASSED				
						logprint	Test_that_if_ran_works																					
						Test	pgm	pgm	50100		10			Fail														
						defaults										t5_C2A232F_RAN												
						flag-true	t5_C2A232F_RAN																					
						Test	read0	read0	50110					Fail									flag-true	t5_C2A232F_RAN				
						logprint	Test_the_block_form_of_if_ran																					
						Test	pgm	pgm	50120		10			Fail														
						defaults										t6_C2A232F_RAN												
						flag-true	t6_C2A232F_RAN																					
						Test	read0	read0	50130					Fail									flag-true	t6_C2A232F_RAN				
						Test	read0	read0	50140					Fail									flag-true	t6_C2A232F_RAN				
						logprint	Test_that_unless_ran_works																					
						Test	pgm	pgm	50150		10			Fail														
						defaults										t7_C2A232F_RAN												
						flag-true	t7_C2A232F_RAN																					
						Test	read0	read0	50160					Fail								not	flag-true	t7_C2A232F_RAN				
						logprint	Test_the_block_form_of_unless_ran																					
						Test	pgm	pgm	50170		10			Fail														
						defaults										t8_C2A232F_RAN												
						flag-true	t8_C2A232F_RAN																					
						Test	read0	read0	50180					Fail								not	flag-true	t8_C2A232F_RAN				
						Test	read0	read0	50190					Fail								not	flag-true	t8_C2A232F_RAN				
						logprint	Test_that_if_job_works																					
			FC			Test	cold_test	cold_test	50200					Fail														
						logprint	Test_the_block_form_of_if_job																					
			PRB1,PRB2			Test	probe_only_test1	probe_only_test1	50210					Fail														
			PRB1,PRB2			Test	probe_only_test2	probe_only_test2	50220					Fail														
						logprint	Test_that_the_block_form_of_if_job_can_be_overridden,_prb9_should_be_removed																					
			PRB1,PRB2			Test	probe_only_test1	probe_only_test1	50230					Fail														
						logprint	Test_that_unless_job_works																					
			!FC			Test	warmish_test	warmish_test	50240					Fail														
						logprint	Test_the_block_form_of_unless_job																					
			!PRB1,!PRB2			Test	ft_only_test1	ft_only_test1	50250					Fail														
			!PRB1,!PRB2			Test	ft_only_test2	ft_only_test2	50260					Fail														
						logprint	Test_that_if_enable_works																					
		extras				Test	extra_test	extra_test	50270					Fail														
						logprint	Test_the_block_form_of_if_enable																					
		cz				Test	cz_test1	cz_test1	50280					Fail														
		cz				Test	cz_test2	cz_test2	50290					Fail														
						logprint	Test_that_unless_enable_works																					
		quick				goto	LABEL_1_C2A232F																					
						Test	long_test	long_test	50300					Fail														
	LABEL_1_C2A232F					nop																						
						logprint	Test_the_block_form_of_unless_enable																					
		quick				goto	LABEL_2_C2A232F																					
						Test	long_test1	long_test1	50310					Fail														
						Test	long_test2	long_test2	50320					Fail														
	LABEL_2_C2A232F					nop																						
						logprint	Test_that_if_any_failed_works																					
						Test	test1	test1	50330					None		ifa1_C2A232F_FAILED												
						Test	test2	test2	50340					None		ifa2_C2A232F_FAILED												
						defaults										ifa1_C2A232F_FAILED_OR_ifa2_C2A232F_FAILED												
						flag-true	ifa1_C2A232F_FAILED_OR_ifa2_C2A232F_FAILED																flag-true	ifa1_C2A232F_FAILED				
						flag-true	ifa1_C2A232F_FAILED_OR_ifa2_C2A232F_FAILED																flag-true	ifa2_C2A232F_FAILED				
						Test	test3	test3	50350					Fail									flag-true	ifa1_C2A232F_FAILED_OR_ifa2_C2A232F_FAILED				
						logprint	Test_the_block_form_of_if_any_failed																					
						Test	test1	test1	50360					None		oof_passcode1_C2A232F_FAILED												
						Test	test2	test2	50370					None		oof_passcode2_C2A232F_FAILED												
						defaults										oof_passcode1_C2A232F_FAILED_OR_oof_passcode2_C2A232F_FAILED												
						flag-true	oof_passcode1_C2A232F_FAILED_OR_oof_passcode2_C2A232F_FAILED																flag-true	oof_passcode1_C2A232F_FAILED				
						flag-true	oof_passcode1_C2A232F_FAILED_OR_oof_passcode2_C2A232F_FAILED																flag-true	oof_passcode2_C2A232F_FAILED				
						Test	test3	test3	50380					Fail									flag-true	oof_passcode1_C2A232F_FAILED_OR_oof_passcode2_C2A232F_FAILED				
						Test	test4	test4	50390					Fail									flag-true	oof_passcode1_C2A232F_FAILED_OR_oof_passcode2_C2A232F_FAILED				
						logprint	Test_that_if_all_failed_works																					
						Test	test1	test1	50400					None		ifall1_C2A232F_FAILED												
						Test	test2	test2	50410					None		ifall2_C2A232F_FAILED												
						defaults										ifall1_C2A232F_FAILED_AND_ifall2_C2A232F_FAILED												
						flag-true	ifall1_C2A232F_FAILED_AND_ifall2_C2A232F_FAILED																					
						flag-false	ifall1_C2A232F_FAILED_AND_ifall2_C2A232F_FAILED															not	flag-true	ifall2_C2A232F_FAILED				
						flag-false	ifall1_C2A232F_FAILED_AND_ifall2_C2A232F_FAILED															not	flag-true	ifall1_C2A232F_FAILED				
						Test	test3	test3	50420					Fail									flag-true	ifall1_C2A232F_FAILED_AND_ifall2_C2A232F_FAILED				
						logprint	Test_the_block_form_of_if_all_failed																					
						Test	test1	test1	50430					None		ifallb1_C2A232F_FAILED												
						Test	test2	test2	50440					None		ifallb2_C2A232F_FAILED												
						defaults										ifallb1_C2A232F_FAILED_AND_ifallb2_C2A232F_FAILED												
						flag-true	ifallb1_C2A232F_FAILED_AND_ifallb2_C2A232F_FAILED																					
						flag-false	ifallb1_C2A232F_FAILED_AND_ifallb2_C2A232F_FAILED															not	flag-true	ifallb2_C2A232F_FAILED				
						flag-false	ifallb1_C2A232F_FAILED_AND_ifallb2_C2A232F_FAILED															not	flag-true	ifallb1_C2A232F_FAILED				
						Test	test3	test3	50450					Fail									flag-true	ifallb1_C2A232F_FAILED_AND_ifallb2_C2A232F_FAILED				
						Test	test4	test4	50460					Fail									flag-true	ifallb1_C2A232F_FAILED_AND_ifallb2_C2A232F_FAILED				
						logprint	Test_that_if_any_passed_works																					
						Test	test1	test1	50470					None	ifap1_C2A232F_PASSED													
						Test	test2	test2	50480					None	ifap2_C2A232F_PASSED													
						defaults										ifap1_C2A232F_PASSED_OR_ifap2_C2A232F_PASSED												
						flag-true	ifap1_C2A232F_PASSED_OR_ifap2_C2A232F_PASSED																flag-true	ifap1_C2A232F_PASSED				
						flag-true	ifap1_C2A232F_PASSED_OR_ifap2_C2A232F_PASSED																flag-true	ifap2_C2A232F_PASSED				
						Test	test3	test3	50490					Fail									flag-true	ifap1_C2A232F_PASSED_OR_ifap2_C2A232F_PASSED				
						logprint	Test_the_block_form_of_if_any_passed																					
						Test	test1	test1	50500					None	ifapb1_C2A232F_PASSED													
						Test	test2	test2	50510					None	ifapb2_C2A232F_PASSED													
						defaults										ifapb1_C2A232F_PASSED_OR_ifapb2_C2A232F_PASSED												
						flag-true	ifapb1_C2A232F_PASSED_OR_ifapb2_C2A232F_PASSED																flag-true	ifapb1_C2A232F_PASSED				
						flag-true	ifapb1_C2A232F_PASSED_OR_ifapb2_C2A232F_PASSED																flag-true	ifapb2_C2A232F_PASSED				
						Test	test3	test3	50520					Fail									flag-true	ifapb1_C2A232F_PASSED_OR_ifapb2_C2A232F_PASSED				
						Test	test4	test4	50530					Fail									flag-true	ifapb1_C2A232F_PASSED_OR_ifapb2_C2A232F_PASSED				
						logprint	Test_that_if_all_passed_works																					
						Test	test1	test1	50540					None	ifallp1_C2A232F_PASSED													
						Test	test2	test2	50550					None	ifallp2_C2A232F_PASSED													
						defaults										ifallp1_C2A232F_PASSED_AND_ifallp2_C2A232F_PASSED												
						flag-true	ifallp1_C2A232F_PASSED_AND_ifallp2_C2A232F_PASSED																					
						flag-false	ifallp1_C2A232F_PASSED_AND_ifallp2_C2A232F_PASSED															not	flag-true	ifallp2_C2A232F_PASSED				
						flag-false	ifallp1_C2A232F_PASSED_AND_ifallp2_C2A232F_PASSED															not	flag-true	ifallp1_C2A232F_PASSED				
						Test	test3	test3	50560					Fail									flag-true	ifallp1_C2A232F_PASSED_AND_ifallp2_C2A232F_PASSED				
						logprint	Test_the_block_form_of_if_all_passed																					
						Test	test1	test1	50570					None	ifallpb1_C2A232F_PASSED													
						Test	test2	test2	50580					None	ifallpb2_C2A232F_PASSED													
