DFF 1.1	Flow Table																											
																												
			Gate			Command				Bin Number		Sort Number			Flag			Group				Device			Debug			
	Label	Enable	Job	Part	Env	Opcode	Parameter	TName	TNum	Pass	Fail	Pass	Fail	Result	Pass	Fail	State	Specifier	Sense	Condition	Name	Sense	Condition	Name	Assume	Sites	Comment	
						logprint	Test_that_if_failed_works_using_Literal																					
						Test	read1	read1	50000		10			None		f_flw_FLOW_CONTROL_LITERALS_Test__Flag1_06D8931												
						Test	erase1	erase1	50010		12			Fail									flag-true	f_flw_FLOW_CONTROL_LITERALS_Test__Flag1_06D8931				
						logprint	Test_the_block_form_of_if_failed																					
						Test	read2	read2	50020		10			None		f_flw_FLOW_CONTROL_LITERALS_Test__Flag2_06D8931												
						Test	erase2	erase2	50030					Fail									flag-true	f_flw_FLOW_CONTROL_LITERALS_Test__Flag2_06D8931				
						Test	erase2	erase2	50040					Fail									flag-true	f_flw_FLOW_CONTROL_LITERALS_Test__Flag2_06D8931				
						logprint	Test_that_if_passed_works																					
						Test	read1	read1	50050		10			None	p_flw_FLOW_CONTROL_LITERALS_Test__Flag3_06D8931													
						Test	pgm1	pgm1	50060					Fail									flag-true	p_flw_FLOW_CONTROL_LITERALS_Test__Flag3_06D8931				
						logprint	Test_the_block_form_of_if_passed																					
						Test	read2	read2	50070		10			None	p_flw_FLOW_CONTROL_LITERALS_Test__Flag4_06D8931													
						Test	pgm1	pgm1	50080					Fail									flag-true	p_flw_FLOW_CONTROL_LITERALS_Test__Flag4_06D8931				
						Test	pgm1	pgm1	50090					Fail									flag-true	p_flw_FLOW_CONTROL_LITERALS_Test__Flag4_06D8931				
						logprint	Test_that_if_ran_works																					
						Test	pgm	pgm	50100		10			Fail														
						defaults										RAN_flw_FLOW_CONTROL_LITERALS_Test__Flag5_06D8931												
						flag-true	RAN_flw_FLOW_CONTROL_LITERALS_Test__Flag5_06D8931																					
						Test	read0	read0	50110					Fail									flag-true	RAN_flw_FLOW_CONTROL_LITERALS_Test__Flag5_06D8931				
						logprint	Test_the_block_form_of_if_ran																					
						Test	pgm	pgm	50120		10			Fail														
						defaults										RAN_flw_FLOW_CONTROL_LITERALS_Test__Flag6_06D8931												
						flag-true	RAN_flw_FLOW_CONTROL_LITERALS_Test__Flag6_06D8931																					
						Test	read0	read0	50130					Fail									flag-true	RAN_flw_FLOW_CONTROL_LITERALS_Test__Flag6_06D8931				
						Test	read0	read0	50140					Fail									flag-true	RAN_flw_FLOW_CONTROL_LITERALS_Test__Flag6_06D8931				
						logprint	Test_that_unless_ran_works																					
						Test	pgm	pgm	50150		10			Fail														
						defaults										RAN_flw_FLOW_CONTROL_LITERALS_Test__Flag7_06D8931												
						flag-true	RAN_flw_FLOW_CONTROL_LITERALS_Test__Flag7_06D8931																					
						Test	read0	read0	50160					Fail								not	flag-true	RAN_flw_FLOW_CONTROL_LITERALS_Test__Flag7_06D8931				
						logprint	Test_the_block_form_of_unless_ran																					
						Test	pgm	pgm	50170		10			Fail														
						defaults										RAN_flw_FLOW_CONTROL_LITERALS_Test__Flag8_06D8931												
						flag-true	RAN_flw_FLOW_CONTROL_LITERALS_Test__Flag8_06D8931																					
						Test	read0	read0	50180					Fail								not	flag-true	RAN_flw_FLOW_CONTROL_LITERALS_Test__Flag8_06D8931				
						Test	read0	read0	50190					Fail								not	flag-true	RAN_flw_FLOW_CONTROL_LITERALS_Test__Flag8_06D8931				
						logprint	Test_that_if_enable_works																					
		Extras__123				Test	extra_test	extra_test	50270					Fail														
						logprint	Test_the_block_form_of_if_enable																					
		Cz__123				Test	cz_test1	cz_test1	50280					Fail														
		Cz__123				Test	cz_test2	cz_test2	50290					Fail														
						logprint	Test_that_unless_enable_works																					
		Quick__123				goto	LABEL_1_06D8931																					
						Test	long_test	long_test	50300					Fail														
	LABEL_1_06D8931					nop																						
						logprint	Test_the_block_form_of_unless_enable																					
		Quick__123				goto	LABEL_2_06D8931																					
						Test	long_test1	long_test1	50310					Fail														
						Test	long_test2	long_test2	50320					Fail														
	LABEL_2_06D8931					nop																						
						logprint	Test_that_if_any_failed_works																					
						Test	test1	test1	50330					None		f_flw_FLOW_CONTROL_LITERALS_iFA__1_06D8931												
						Test	test2	test2	50340					None		f_flw_FLOW_CONTROL_LITERALS_iFA__2_06D8931												
						defaults										f_flw_FLOW_CONTROL_LITERALS_iFA__1_06D8931_OR_f_flw_FLOW_CONTROL_LITERALS_iFA__2_06D8931												
						flag-true	f_flw_FLOW_CONTROL_LITERALS_iFA__1_06D8931_OR_f_flw_FLOW_CONTROL_LITERALS_iFA__2_06D8931																flag-true	f_flw_FLOW_CONTROL_LITERALS_iFA__1_06D8931				
						flag-true	f_flw_FLOW_CONTROL_LITERALS_iFA__1_06D8931_OR_f_flw_FLOW_CONTROL_LITERALS_iFA__2_06D8931																flag-true	f_flw_FLOW_CONTROL_LITERALS_iFA__2_06D8931				
						Test	test3	test3	50350					Fail									flag-true	f_flw_FLOW_CONTROL_LITERALS_iFA__1_06D8931_OR_f_flw_FLOW_CONTROL_LITERALS_iFA__2_06D8931				
						logprint	Test_the_block_form_of_if_any_failed																					
						Test	test1	test1	50360					None		f_flw_FLOW_CONTROL_LITERALS_OOF__Passcode1_06D8931												
						Test	test2	test2	50370					None		f_flw_FLOW_CONTROL_LITERALS_OOF__Passcode2_06D8931												
						defaults										f_flw_FLOW_CONTROL_LITERALS_OOF__Passcode1_06D8931_OR_f_flw_FLOW_CONTROL_LITERALS_OOF__Passcode2_06D8931												
						flag-true	f_flw_FLOW_CONTROL_LITERALS_OOF__Passcode1_06D8931_OR_f_flw_FLOW_CONTROL_LITERALS_OOF__Passcode2_06D8931																flag-true	f_flw_FLOW_CONTROL_LITERALS_OOF__Passcode1_06D8931				
						flag-true	f_flw_FLOW_CONTROL_LITERALS_OOF__Passcode1_06D8931_OR_f_flw_FLOW_CONTROL_LITERALS_OOF__Passcode2_06D8931																flag-true	f_flw_FLOW_CONTROL_LITERALS_OOF__Passcode2_06D8931				
						Test	test3	test3	50380					Fail									flag-true	f_flw_FLOW_CONTROL_LITERALS_OOF__Passcode1_06D8931_OR_f_flw_FLOW_CONTROL_LITERALS_OOF__Passcode2_06D8931				
						Test	test4	test4	50390					Fail									flag-true	f_flw_FLOW_CONTROL_LITERALS_OOF__Passcode1_06D8931_OR_f_flw_FLOW_CONTROL_LITERALS_OOF__Passcode2_06D8931				
						logprint	Test_that_if_all_failed_works																					
						Test	test1	test1	50400					None		f_flw_FLOW_CONTROL_LITERALS_iFall__1_06D8931												
						Test	test2	test2	50410					None		f_flw_FLOW_CONTROL_LITERALS_iFall__2_06D8931												
						defaults										f_flw_FLOW_CONTROL_LITERALS_iFall__1_06D8931_AND_f_flw_FLOW_CONTROL_LITERALS_iFall__2_06D8931												
						flag-true	f_flw_FLOW_CONTROL_LITERALS_iFall__1_06D8931_AND_f_flw_FLOW_CONTROL_LITERALS_iFall__2_06D8931																					
						flag-false	f_flw_FLOW_CONTROL_LITERALS_iFall__1_06D8931_AND_f_flw_FLOW_CONTROL_LITERALS_iFall__2_06D8931															not	flag-true	f_flw_FLOW_CONTROL_LITERALS_iFall__2_06D8931				
