DTPatternSetSheet,version=2.1:platform=Jaguar:toprow=-1:leftcol=-1:rightcol=-1	Pattern Sets								
									
	Pattern Set	TD Group	Time Domain	File/Group Name	Burst	Start Label	Stop Label	Comment	
	another_not_p1_or_p2_test_pset			another_not_p1_or_p2_test.PAT	Yes				
	another_not_p1_or_p2_test_pset			nvm_global_subs.PAT	Yes	subr			
	bgap_voltage_meas1_pset			bgap_voltage_meas1.PAT	Yes				
	bgap_voltage_meas1_pset			nvm_global_subs.PAT	Yes	subr			
	bgap_voltage_meas_pset			bgap_voltage_meas.PAT	Yes				
	bgap_voltage_meas_pset			nvm_global_subs.PAT	Yes	subr			
	bitcell_iv_0_pset			bitcell_iv_0.PAT	Yes				
	bitcell_iv_0_pset			nvm_global_subs.PAT	Yes	subr			
	bitcell_iv_1_pset			bitcell_iv_1.PAT	Yes				
	bitcell_iv_1_pset			nvm_global_subs.PAT	Yes	subr			
	bitcell_iv_2_pset			bitcell_iv_2.PAT	Yes				
	bitcell_iv_2_pset			nvm_global_subs.PAT	Yes	subr			
	bitmap_all0_pset			bitmap_all0.PAT	Yes				
	bitmap_all0_pset			nvm_global_subs.PAT	Yes	subr			
	cc_test_0_pset			cc_test_0.PAT	Yes				
	cc_test_0_pset			nvm_global_subs.PAT	Yes	subr			
	cc_test_1_pset			cc_test_1.PAT	Yes				
	cc_test_1_pset			nvm_global_subs.PAT	Yes	subr			
	cc_test_2_pset			cc_test_2.PAT	Yes				
	cc_test_2_pset			nvm_global_subs.PAT	Yes	subr			
	erase_all_pset			erase_all.PAT	Yes				
	erase_all_pset			nvm_global_subs.PAT	Yes	subr			
	margin_read0_ckbd_pset			margin_read0_ckbd.PAT	Yes				
	margin_read0_ckbd_pset			nvm_global_subs.PAT	Yes	subr			
	margin_read1_all1_pset			margin_read1_all1.PAT	Yes				
	margin_read1_all1_pset			nvm_global_subs.PAT	Yes	subr			
	margin_read1_ckbd_pset			margin_read1_ckbd.PAT	Yes				
	margin_read1_ckbd_pset			nvm_global_subs.PAT	Yes	subr			
	normal_read_ckbd_pset			normal_read_ckbd.PAT	Yes				
	normal_read_ckbd_pset			nvm_global_subs.PAT	Yes	subr			
	not_p1_or_p2_test_pset			not_p1_or_p2_test.PAT	Yes				
	not_p1_or_p2_test_pset			nvm_global_subs.PAT	Yes	subr			
	not_p1_test_pset			not_p1_test.PAT	Yes				
	not_p1_test_pset			nvm_global_subs.PAT	Yes	subr			
	p1_only_test_pset			p1_only_test.PAT	Yes				
	p1_only_test_pset			nvm_global_subs.PAT	Yes	subr			
	p1_or_p2_only_test_pset			p1_or_p2_only_test.PAT	Yes				
	p1_or_p2_only_test_pset			nvm_global_subs.PAT	Yes	subr			
	program_ckbd_b0_pset			program_ckbd_b0.PAT	Yes				
	program_ckbd_b0_pset			nvm_global_subs.PAT	Yes	subr			
	program_ckbd_b1_pset			program_ckbd_b1.PAT	Yes				
	program_ckbd_b1_pset			nvm_global_subs.PAT	Yes	subr			
	program_ckbd_b2_pset			program_ckbd_b2.PAT	Yes				
	program_ckbd_b2_pset			nvm_global_subs.PAT	Yes	subr			
	program_ckbd_pset			program_ckbd.PAT	Yes				
	program_ckbd_pset			nvm_global_subs.PAT	Yes	subr			
	some_func_test_pset			some_func_test.PAT	Yes				
	some_func_test_pset			nvm_global_subs.PAT	Yes	subr			
	xcvr_fs_vilvih_pset			xcvr_fs_vilvih.PAT	Yes				
	xcvr_fs_vilvih_pset			nvm_global_subs.PAT	Yes	subr			
