,,,,Low Limit,High Limit
Test Suite,Test,Test Number,Test Text,default,default,Unit,Soft Bin
erase_all,erase_all,10000,,0,0,,
margin_read1_all1,margin_read1_all1,10010,,0,0,,
erase_all_1,erase_all_1,10020,,0,0,,
margin_read1_all1_1,margin_read1_all1_1,10030,,0,0,,
PRB2_MAIN.pgm_ckbd,pgm_ckbd,11010,,0,0,,
PRB2_MAIN.mrd_ckbd,mrd_ckbd,11020,,0,0,,
erase_all_2,erase_all_2,12000,,0,0,,
margin_read1_all1_2,margin_read1_all1_2,12010,,0,0,,
PRB2_MAIN_1.pgm_ckbd,pgm_ckbd,13010,,0,0,,
PRB2_MAIN_1.mrd_ckbd,mrd_ckbd,13020,,0,0,,
margin_read1_all1_3,margin_read1_all1_3,14000,,0,0,,
