DTPinMap,version=2.1:platform=Jaguar:toprow=-1:leftcol=-1:rightcol=-1	Pin Map

	Group Name	Pin Name	Type	Comment
		d1_mdq00	I/O	
		d1_mdq01	I/O	
		d1_mdq02	I/O	
		d1_mdq03	I/O	
		d1_mdq04	I/O	
		d1_mdq05	I/O	
		d1_mdq06	I/O	
		d1_mdq07	I/O	
		d1_mdq08	I/O	
		d1_mdq09	I/O	
		d1_mdq10	I/O	
		d1_mdq11	I/O	
		d1_mdq12	I/O	
		d1_mdq13	I/O	
		d1_mdq14	I/O	
		d1_mdq15	I/O	
		d1_mdq16	I/O	
		d1_mdq17	I/O	
		d1_mdq18	I/O	
		d1_mdq19	I/O	
		d1_mdq20	I/O	
		d1_mdq21	I/O	
		d1_mdq22	I/O	
		d1_mdq23	I/O	
		d1_mdq24	I/O	
		d1_mdq25	I/O	
		d1_mdq26	I/O	
		d1_mdq27	I/O	
		d1_mdq28	I/O	
		d1_mdq29	I/O	
		d1_mdq30	I/O	
		d1_mdq31	I/O	
		d1_mdq32	I/O	
		d1_mdq33	I/O	
		d1_mdq34	I/O	
		d1_mdq35	I/O	
		d1_mdq36	I/O	
		d1_mdq37	I/O	
		d1_mdq38	I/O	
		d1_mdq39	I/O	
		d1_mdq40	I/O	
		d1_mdq41	I/O	
		d1_mdq42	I/O	
		d1_mdq43	I/O	
		d1_mdq44	I/O	
		d1_mdq45	I/O	
		d1_mdq46	I/O	
		d1_mdq47	I/O	
		d1_mdq48	I/O	
		d1_mdq49	I/O	
		d1_mdq50	I/O	
		d1_mdq51	I/O	
		d1_mdq52	I/O	
		d1_mdq53	I/O	
		d1_mdq54	I/O	
		d1_mdq55	I/O	
		d1_mdq56	I/O	
		d1_mdq57	I/O	
		d1_mdq58	I/O	
		d1_mdq59	I/O	
		d1_mdq60	I/O	
		d1_mdq61	I/O	
		d1_mdq62	I/O	
		d1_mdq63	I/O	
		d1_mecc0	I/O	
		d1_mecc1	I/O	
		d1_mecc2	I/O	
		d1_mecc3	I/O	
		d1_mecc4	I/O	
		d1_mecc5	I/O	
		d1_mecc6	I/O	
		d1_mecc7	I/O	
		d1_malert_b	I/O	
		d1_mpar	Output	
		d1_mba0	Output	
		d1_mba1	Output	
		d1_mbg0	Output	
		d1_mbg1	Output	
		d1_ma00	Output	
		d1_ma01	Output	
		d1_ma02	Output	
		d1_ma03	Output	
		d1_ma04	Output	
		d1_ma05	Output	
		d1_ma06	Output	
		d1_ma07	Output	
		d1_ma08	Output	
		d1_ma09	Output	
		d1_ma10	Output	
		d1_ma11	Output	
		d1_ma12	Output	
		d1_ma13	Output	
		d1_ma17	Output	
		d1_mact_b	Output	
		d1_mwe_b	Output	
		d1_mras_b	Output	
		d1_mcas_b	Output	
		d1_mcs0_b	Output	
		d1_mcs1_b	Output	
		d1_mcs2_b	Output	
		d1_mcs3_b	Output	
		d1_mcke0	Output	
		d1_mcke1	Output	
		d1_mcke2	Output	
		d1_mcke3	Output	
		d1_modt0	Output	
		d1_modt1	Output	
		d1_modt2	Output	
		d1_modt3	Output	
		d1_mdic0	I/O	
		d1_mdic1	I/O	
		d2_mdq00	I/O	
		d2_mdq01	I/O	
		d2_mdq02	I/O	
		d2_mdq03	I/O	
		d2_mdq04	I/O	
		d2_mdq05	I/O	
		d2_mdq06	I/O	
		d2_mdq07	I/O	
		d2_mdq08	I/O	
		d2_mdq09	I/O	
		d2_mdq10	I/O	
		d2_mdq11	I/O	
		d2_mdq12	I/O	
		d2_mdq13	I/O	
		d2_mdq14	I/O	
		d2_mdq15	I/O	
		d2_mdq16	I/O	
		d2_mdq17	I/O	
		d2_mdq18	I/O	
		d2_mdq19	I/O	
		d2_mdq20	I/O	
		d2_mdq21	I/O	
		d2_mdq22	I/O	
		d2_mdq23	I/O	
		d2_mdq24	I/O	
		d2_mdq25	I/O	
		d2_mdq26	I/O	
		d2_mdq27	I/O	
		d2_mdq28	I/O	
		d2_mdq29	I/O	
		d2_mdq30	I/O	
		d2_mdq31	I/O	
		d2_mdq32	I/O	
		d2_mdq33	I/O	
		d2_mdq34	I/O	
		d2_mdq35	I/O	
		d2_mdq36	I/O	
		d2_mdq37	I/O	
		d2_mdq38	I/O	
		d2_mdq39	I/O	
		d2_mdq40	I/O	
		d2_mdq41	I/O	
		d2_mdq42	I/O	
		d2_mdq43	I/O	
		d2_mdq44	I/O	
		d2_mdq45	I/O	
		d2_mdq46	I/O	
		d2_mdq47	I/O	
		d2_mdq48	I/O	
		d2_mdq49	I/O	
		d2_mdq50	I/O	
		d2_mdq51	I/O	
		d2_mdq52	I/O	
		d2_mdq53	I/O	
		d2_mdq54	I/O	
		d2_mdq55	I/O	
		d2_mdq56	I/O	
		d2_mdq57	I/O	
		d2_mdq58	I/O	
		d2_mdq59	I/O	
		d2_mdq60	I/O	
		d2_mdq61	I/O	
		d2_mdq62	I/O	
		d2_mdq63	I/O	
		d2_mecc0	I/O	
		d2_mecc1	I/O	
		d2_mecc2	I/O	
		d2_mecc3	I/O	
		d2_mecc4	I/O	
		d2_mecc5	I/O	
		d2_mecc6	I/O	
		d2_mecc7	I/O	
		d2_malert_b	I/O	
		d2_mpar	Output	
		d2_mba0	Output	
		d2_mba1	Output	
		d2_mbg0	Output	
